name,source,gender,wikidata,type
"1 Bilbao Galdakao Errepidea",,,,way
"AP-8 Supersur",,,,way
"Abaro estrata",,,,way
"Abasolo kalea",,,,way
"Abenduaren hamabiaren kalea",,,,way
"Abusu kalea",,,,way
"Abusu zubia",,,,way
"Abuztuak 16 kalea",,,,way
"Acceso Bilbao Arena",,,,way
"Acceso Euskalduna",,,,way
"Acceso N-634",,,,way
"Acceso a Bilbao por el Norte (Enekuri - Asua)",,,,way
"Acceso a Mina Primitiva",,,,way
"Acceso a ascensor",,,,way
"Acceso a huertas",,,,way
"Accesos Bilbao-San Mamés",,,,way
"Agarre kalea",,,,way
"Agirre anaien kalea",,,,way
"Agoitz plaza",,,,way
"Aiala kantzillerraren kalea",,,,way
"Aintzira kalea",,,,way
"Aita Donostia plaza",,,,way
"Aita Esteban Pernet kalea",,,,way
"Aita Larramendi kalea",,,,way
"Aita Lojendio kalea",,,,way
"Aita Patxi plaza",,,,way
"Aixeona etxaldea",,,,way
Aizerrotabidea,,,,way
"Alacant kalea",,,,way
"Aladapeta etxaldea",,,,way
"Alameda de Recalde",,,,way
"Albacete kalea",,,,way
"Alberca doktorearen kalea",,,,way
"Aldamiz mendiaren kalea",,,,way
"Aldape estrata",,,,way
"Aldapeta etxaldea",,,,way
"Alfredo Etxabe kalea",,,,way
"Alfredo Kraus plaza",,,,way
"Alicia Aretxabaleta kalea",,,,way
"Altamira Barria kalea",,,,way
"Altamira auzoa",,,,way
"Altube kalea",,,,way
"Altube zeharkalea",,,,way
Aluzetabidea,,,,way
"Amadeo Deprit kalea",,,,way
"Amadeus Mozart plaza",,,,way
"Amadeus Mozart zeharkalea",,,,way
"Ametzola parkea",,,,way
"Ametzola plaza",,,,way
"Andramari etxetaldea",,,,way
"Andre zamaketarien kalea",,,,way
"Andres Eliseo kalea",,,,way
"Angel Larroque margolariaren kalea",,,,way
"Angel Ortiz Alfau kalea",,,,way
"Angela Arregui plaza",,,,way
"Anselma de Salces estrata",,,,way
"Anselma de Salces kalea",,,,way
"Anselmo Guinea Margolariaren Kalea",,,,way
"Antonio Eguiluz kalea",,,,way
"Antonio Gaztañeta almirantearen kalea",,,,way
"Arabella etxaldea",,,,way
"Arabella kalea",,,,way
"Aralar kalea",,,,way
"Aranbarri Musikaria plaza",,,,way
"Arane kalea",,,,way
"Araneko kalea",,,,way
Aranekobidea,,,,way
"Arangoitiko pasabidea",,,,way
"Arategizar kalea",,,,way
"Arbidea kalea",,,,way
"Arbieto kalea",,,,way
"Arbolagana kalea",,,,way
"Arbolantxa bidea",,,,way
"Arbolantxa zeharkalea",,,,way
"Arbolantza Kalea",,,,way
"Archer marinelaren kalea",,,,way
"Areatza kalea",,,,way
"Areatzako zubia",,,,way
"Arechavaleta kalea",,,,way
Arenal,,,,relation
"Arenatza kobaren kalea",,,,way
"Aretxabaleta bidea",,,,way
"Aretxabaleta kalea",,,,way
"Aretxaga kalea",,,,way
Arginao,,,,way
"Arginao kalea",,,,way
"Armotxa kalea",,,,way
Armotxabidea,,,,way
"Arno mendiaren kalea",,,,way
"Arnotegi kalea",,,,way
"Arraiz etxealdea",,,,way
Arraizbidea,,,,way
"Arriaga plaza",,,,way
"Arrigorriaga - Bilbo errepidea",,,,way
"Arriquibar plaza",,,,relation+way
"Arrue Margolarien kalea",,,,way
"Arsuaga kalea",,,,way
"Artalandio kalea",,,,way
"Artatzamina kalea",,,,way
"Artazu kalea",,,,way
"Artazubekoa etxaldea",,,,way
Artazubidea,,,,way
"Artazuriña kalea",,,,way
Artekale,,,,way
Artigabidea,,,,way
"Artsenal bidea",,,,way
"Artxanda - Santo Domingo errepidea",,,,way
"Artxanda Igoera",,,,way
"Artxanda bidea",,,,way
"Artxanda-Egirleta errepidea",,,,way
"Artxandaren igoeraren kalea",,,,way
"Artzain Onaren kalea",,,,way
"Askao kalea",,,,way
"Askatasuna etorbidea",,,,way
"Ategorri txakolindegiaren kalea",,,,way
"Atxetabide kalea",,,,way
"Atxuri kalea",,,,way
"Auntzetxeta kalea",,,,way
"Aurelio Arteta Margolariaren kalea",,,,way
"Aurrekoetxea kalea",,,,way
"Avenida Abandoibarra",,,,way
"Avenida Enekuri",,,,way
"Avenida Gabriel Aresti",,,,way
"Avenida Jesus Galindez",,,,way
"Avenida Juan Antonio Zunzunegui etorbidea",,,,way
"Avenida Julián Gaiarre",,,,way
"Avenida Miraflores",,,,way
"Avenida Sabino Arana etorbidea",,,,way
"Avenida Txomin Garat",,,,way
"Avenida Zarandoa",,,,way
"Avenida Zumalacarregui",,,,way
"Avenida Zumalacárregui",,,,way
"Avenida de Montevideo",,,,way
"Avenida del Ferrocarril",,,,way
"Avril auzoa",,,,way
"Ayala kantzilerraren kalea",,,,way
"Azaroaren 25eko emakumeen plaza",,,,way
"Azkarai bidea",,,,way
"Azurleku auzoa",,,,way
"BI-3741 Artxandako errepidea",,,,way
"Babes kalea",,,,way
"Baiona kalea",,,,way
"Bake kalea",,,,way
"Bakio kalea",,,,way
"Ballets Olaeta kalea",,,,way
"Barinaga kalea",,,,way
"Barrainkua kalea",,,,way
Barrenkale,,,,way
"Barrenkale Barrena",,,,way
"Barriada Lagunetxea Auzunea",,,,way
"Barrio Betolatza",,,,way
"Barrio La Asunción",,,,way
"Barrio Larrazabal",,,,way
"Barrio Miravista",,,,way
"Barrio de Masustegi",,,,way
"Barrio de Sto. Domingo",,,,way
"Basabidea kalea",,,,way
"Basarrate enparantza",,,,way
"Baso Bidea",,,,way
Basobidea,,,,way
"Basterra kalea",,,,way
"Basurto - Kaxtresana errepidea",,,,way
"Basurto-Kastrexana errepidea",,,,way
"Basurto-Kaxtresana errepidea",,,,way
"Basurtoko Geltokiaren kalea",,,,way
"Basurtu-Kastrexana errepidea",,,,way
"Basurtubekoa kalea",,,,way
"Basurtugorta plaza",,,,way
"Basurtuko Kaputxinoen kalea",,,,way
"Basurtuko geltokiko kalea",,,,way
"Basurtuko kaputxinoen kalea",,,,way
Bedarra,,,,way
"Begoñako Andra Maria kalea",,,,way
"Begoñako Batasun etxaldea",,,,way
"Begoñako Errepublika kalea",,,,way
"Begoñako Hilerriaren bidea",,,,way
"Begoñalde etxaldea",,,,way
"Begoñalde etxetalde",,,,way
"Begoñazpi auzoa",,,,way
"Begoñazpi kalea",,,,way
"Behekobide kalea",,,,way
"Beiti estrata",,,,way
"Belategi Plaza",,,,way
Belostikale,,,,way
"Benito Alberdi kalea",,,,way
"Benta estrata",,,,way
"Bentazarra kalea",,,,way
"Berastegi kalea",,,,way
"Bernardino Alonso Udaltzainaren kalea",,,,way
"Bernardino Garaizar kalea",,,,way
"Berriozar kalea",,,,way
"Berriz kalea",,,,way
Berrizbidea,,,,way
Beteluribidea,,,,way
"Betolatza Auzoa",,,,way
"Betolatza auzoa",,,,way
"Betolaza Goikoa kalea",,,,way
"Bidebarrieta kalea",,,,way
"Bideberri kalea",,,,way
"Bidegain etxaldea",,,,way
"Bidegorri Getxo-Bilbao",,,,way
"Bidegorri Miribilla-Irala",,,,way
Bidegorria,,,,way
"Bilbao - Atxukarro errepidea",,,,way
"Bilbao - Barakaldo bidegorria",,,,way
"Bilbao Arena eskailerak",,,,way
"Bilbao Arena sarbidea",,,,way
"Bilbao Izaurieta kalea",,,,way
"Bilbo ekialdeko saihesbidea",,,,way
"Bilbo-Galdakao errepidea",,,,way
"Bilbo-San Mamés sarbidea",,,,way
"Bilboko konsuletxearen plaza",,,,way
"Bilborako sarbidea iparraldetik (Asua-Enekuri)",,,,way
"Bilintxi kalea",,,,way
"Birjinetxe plaza",,,,way
"Bizikidetasun plaza",,,,way
"Bizkargi kalea",,,,way
"Bizkorta Estrata",,,,way
Bolintxubidea,,,,way
"Boluetako Santa Ana kalea",,,,way
"Boluetako Santa Ana zubia",,,,way
"Botikazar erribera",,,,way
"Boulevard Ametzola",,,,relation
"Boulevard de La Pérgola",,,,way
"Bruno Mauricio Zabala kalea",,,,way
"Bruno Mauricio Zabala zeharkalea",,,,way
"Buena Vista aldapa",,,,way
"Buia etorbidea",,,,way
"Butroe kalea",,,,way
"Calixto Diez kalea",,,,way
"Calixto Leguina kalea",,,,way
"Calle Alto de Kanpazar",,,,way
"Calle Altube",,,,way
"Calle Artazu",,,,way
"Calle Astillero",,,,way
"Calle Atxetabidea",,,,way
"Calle Beata Margarita López de Maturana",,,,way
"Calle Belategi",,,,way
"Calle Bombero David Zalbide",,,,way
"Calle Cantabria",,,,way
"Calle Caserío Landaburu",,,,way
"Calle Circo Amateur Club Deportivo",,,,way
"Calle Circunvalación",,,,way
"Calle Claudio Gallastegi",,,,way
"Calle Elizondo",,,,way
"Calle Estación de Zorrotza",,,,way
"Calle Felipe Serrate",,,,way
"Calle Gabriel A resti",,,,way
"Calle Gabriel Aresti",,,,way
"Calle General Concha",,,,way
"Calle Goyo Nadal",,,,way
"Calle Gregorio Balpalrda",,,,way
"Calle Jardines Gernika",,,,way
"Calle José María Olavarri",,,,way
"Calle Kadagua",,,,way
"Calle Karmelo",,,,way
"Calle Las Piedritas",,,,way
"Calle Lasao",,,,way
"Calle Lemoatz",,,,way
"Calle León de Uruñuela",,,,way
"Calle Libertad",,,,way
"Calle Malmasin",,,,way
"Calle Monte Mandoia",,,,way
"Calle Músico Usandizaga",,,,way
"Calle Olano",,,,way
"Calle Oruetabidea",,,,way
"Calle Pastelerías",,,,way
"Calle Peñascal",,,,way
"Calle Pintor Losada",,,,way
"Calle Pintor Tellaetxe",,,,way
"Calle San Isidro",,,,way
"Calle Universidad de Oñate",,,,way
"Calle Urazurrutia",,,,way
"Calle Virgen de Begoña",,,,way
"Calle Zabalbide",,,,way
"Calle Zamácola",,,,way
"Calle Zorrotzagana",,,,way
"Calle de Tellae",,,,way
"Calle de la Estación",,,,way
"Calle del Doctor Espinosa Oribe",,,,way
"Calleja del Tránsito",,,,way
"Calzada de Maiona",,,,way
"Camilo Villabaso kalea",,,,way
"Camino Arbolantxa",,,,way
"Camino Azkarai",,,,way
"Camino Berriz",,,,way
"Camino Kobetamendia",,,,way
"Camino Mina Malaespera",,,,way
"Camino Pontón",,,,way
"Camino Ugaskobidea",,,,way
"Camino Vía Vieja de Lezama",,,,way
"Camino Zorrozgoiti",,,,way
"Camino de El Polvorín",,,,way
